timestamp,model_name,round,loss,mae,r2
2025-08-09 18:55:52,MLP,1,3109.9814453125,49.22986500342687,-3.545109753772049
2025-08-09 18:55:52,MLP,2,2232.4869791666665,39.625748192999104,-2.262770079297447
2025-08-09 18:55:52,MLP,3,1126.68994140625,27.48017169104682,-0.6467267379949684
2025-08-09 18:55:52,MLP,4,745.1879475911459,23.05754895104302,-0.08900267812301155
2025-08-09 18:55:52,MLP,5,726.9319661458334,22.748475286695694,-0.06211003938163976
2025-08-09 18:55:52,MLP,6,721.9022420247396,22.69124816258748,-0.05468731700592041
2025-08-09 18:55:52,MLP,7,717.8341674804688,22.641897678375244,-0.04870686849676168
2025-08-09 18:55:52,MLP,8,714.1765543619791,22.595827615525987,-0.04335402013432158
2025-08-09 18:55:52,MLP,9,710.9185180664062,22.571256788041854,-0.03857496055513051
2025-08-09 18:55:52,MLP,10,707.8518880208334,22.530843942430284,-0.03406937781826569
2025-08-09 19:09:28,LSTM,1,3447.2105305989585,52.53374289419916,-4.037908015291178
2025-08-09 19:09:28,LSTM,2,3414.3988444010415,52.220856684645014,-3.989950170858105
2025-08-09 19:09:28,LSTM,3,3355.930419921875,51.65823030405574,-3.904492476731612
2025-08-09 19:09:28,LSTM,4,3264.699951171875,50.76738895734152,-3.7711503361384935
2025-08-09 19:09:28,LSTM,5,3141.58251953125,49.53984744760726,-3.5911984021491725
2025-08-09 19:09:28,LSTM,6,2992.7900390625,48.01477279345195,-3.373715552541585
2025-08-09 19:09:28,LSTM,7,2829.4829915364585,46.28307835684882,-3.1350179400792313
2025-08-09 19:09:28,LSTM,8,2660.935791015625,44.42502259254456,-2.8886587701244033
2025-08-09 19:09:28,LSTM,9,2492.746826171875,42.50067690637376,-2.6428264902356786
2025-08-09 19:09:28,LSTM,10,2327.309326171875,40.61985776371426,-2.401017446740014
2025-08-09 19:43:38,MLP,1,3204.6013997395835,50.1876314040025,-3.6833241786129576
2025-08-09 19:43:38,MLP,2,2443.18505859375,42.00729050159455,-2.570470032849231
2025-08-09 19:43:38,MLP,3,1323.7101643880208,29.640807857513426,-0.9342795994201043
2025-08-09 19:43:38,MLP,4,777.0659586588541,23.377600345611572,-0.13536908172890114
2025-08-09 19:43:38,MLP,5,728.7848917643229,22.719196156395807,-0.06484463099288222
2025-08-09 19:43:38,MLP,6,720.8531087239584,22.617820922003848,-0.05327232006963478
2025-08-09 19:43:38,MLP,7,715.4462687174479,22.55812051773071,-0.04536042933580808
2025-08-09 19:43:38,MLP,8,711.3148396809896,22.519359673394096,-0.03927986835035554
2025-08-09 19:43:38,MLP,9,707.6825561523438,22.477355461120606,-0.03395214599965642
2025-08-09 19:43:38,MLP,10,704.5671793619791,22.453305642869736,-0.029369812137160167
2025-08-09 19:46:49,MLP,1,3127.32666015625,49.405073984066654,-3.5704486890533964
2025-08-09 19:46:49,MLP,2,2182.9066569010415,39.069025489489235,-2.190257766596068
2025-08-09 19:46:49,MLP,3,1051.7255249023438,26.622109002007377,-0.537112843327093
2025-08-09 19:46:49,MLP,4,740.0297037760416,22.96236477745904,-0.08144173872096087
2025-08-09 19:46:49,MLP,5,725.4878946940104,22.780655176374648,-0.06003588688024797
2025-08-09 19:46:49,MLP,6,719.5099283854166,22.706710421244306,-0.05125529058699999
2025-08-09 19:46:49,MLP,7,714.5592447916666,22.642473034328884,-0.04398603375517962
2025-08-09 19:46:49,MLP,8,710.4674479166666,22.59287738800049,-0.03796287149053135
2025-08-09 19:46:49,MLP,9,707.0708618164062,22.560048065185544,-0.03297964991963043
2025-08-09 19:46:49,MLP,10,704.0830485026041,22.526179767184786,-0.028613637789402846
2025-08-09 19:48:27,LSTM,1,3427.6891276041665,52.347347876263996,-4.0093786571702745
2025-08-09 19:48:27,LSTM,2,3389.9673665364585,51.986034399535924,-3.9542452456182855
2025-08-09 19:48:27,LSTM,3,3324.76220703125,51.35537091520098,-3.858942363787327
2025-08-09 19:48:27,LSTM,4,3228.6553548177085,50.411214289930136,-3.718475242252391
2025-08-09 19:48:27,LSTM,5,3106.1503092447915,49.18105551587211,-3.5394219439063797
2025-08-09 19:48:27,LSTM,6,2961.9239908854165,47.69207079887391,-3.3286141527589854
2025-08-09 19:48:27,LSTM,7,2802.1946614583335,45.9864414358139,-3.095145782665361
2025-08-09 19:48:27,LSTM,8,2635.198974609375,44.13335604985554,-2.8510549477214346
2025-08-09 19:48:27,LSTM,9,2467.2254231770835,42.20632996559143,-2.6055362871649055
2025-08-09 19:48:27,LSTM,10,2303.225341796875,40.34284537527296,-2.3658244521594316
2025-08-10 12:11:12,MLP,1,3241.3455607096353,43.942054553445615,-1.2320212341979857
2025-08-10 12:11:12,MLP,2,3203.3907470703125,44.68604218140888,-1.400774989371963
2025-08-10 12:11:12,MLP,3,3186.853271484375,45.13684753735376,-1.5027401659556279
2025-08-10 12:11:12,MLP,4,3184.6399739583335,44.98904382249899,-1.4701335296516287
2025-08-10 12:11:12,MLP,5,3175.8187662760415,45.18698647400862,-1.5179961109814128
2025-08-10 12:11:12,MLP,6,3170.9414876302085,45.143157583901505,-1.5133878092154702
2025-08-10 12:11:12,MLP,7,3164.11572265625,44.91899767739708,-1.4802258641916681
2025-08-10 12:11:12,MLP,8,3150.4434407552085,45.08250975316094,-1.530876603372299
2025-08-10 12:11:12,MLP,9,3139.1263834635415,45.12695685802288,-1.558682698568801
2025-08-10 12:11:12,MLP,10,3133.3695475260415,44.93298740009558,-1.5242148752210536
2025-08-10 12:13:20,LSTM,1,4361.497263590495,40.65045406877662,-0.5547607894344421
